patient_id,num_windows
1001,13
1002,13
1003,12
1004,11
1005,12
1006,11
1008,11
1010,11
1011,10
1012,11
1013,12
1014,13
1015,13
1016,11
1017,15
1018,10
1020,11
1021,11
1022,10
1023,12
1024,10
1025,13
1026,12
1027,12
1028,15
1029,11
1031,10
1032,15
1033,10
1034,13
1035,11
1036,11
1037,12
1038,11
1039,11
1041,11
1042,12
1043,11
1044,14
1045,10
1046,13
1048,12
1049,10
1050,14
1051,13
1053,11
1055,11
1056,11
1057,12
1058,15
1060,10
1061,12
1062,11
1064,10
1065,13
1066,11
1068,10
1069,10
1070,12
1071,15
1072,12
1073,15
1074,11
1075,14
1076,10
1077,11
1078,13
1081,11
1082,14
1083,11
1084,11
1085,14
1086,10
1087,13
1088,15
1089,11
1091,10
1092,11
1093,10
1094,15
1095,11
1096,13
1098,13
1099,12
1102,10
1103,10
1104,12
1105,13
1106,11
1107,11
1108,14
1109,11
1110,11
1111,12
1113,12
1114,10
1115,11
1116,13
1118,11
1119,10
1120,11
1121,14
1122,14
1123,13
1124,15
1125,12
1127,11
1129,11
1130,15
1131,11
1132,11
1133,11
1134,11
1137,13
1139,11
1141,12
1142,11
1143,14
1144,14
1145,11
1146,12
1147,12
1148,14
1149,11
1150,11
1151,10
1152,13
1153,11
1155,11
1156,15
1157,11
1158,14
1159,12
1161,10
1162,9
1163,10
1164,12
1165,10
1166,11
1167,11
1168,10
1169,10
1170,15
1172,13
1173,13
1174,13
1175,11
1176,10
1177,10
1178,10
1179,12
1180,13
1181,12
1182,10
1183,14
1184,12
1185,12
1186,10
1187,15
1189,10
1190,11
1191,10
1192,11
1193,10
1194,11
1195,11
1197,11
1198,10
1199,11
1200,13
1201,13
1202,11
1203,12
1204,11
1205,10
1206,12
1207,9
1208,15
1209,11
1210,11
1211,14
1212,10
1214,11
1215,11
1216,11
1218,14
1220,12
1221,11
1222,12
1223,10
1224,10
1225,10
1226,10
1227,12
1228,11
1229,11
1230,10
1231,10
1232,11
1233,10
1234,11
1235,11
1236,11
1237,11
1238,11
1239,14
1240,13
1241,13
1242,11
1243,10
1244,11
1245,11
1246,11
1247,13
1248,10
1250,11
1251,11
1252,10
1253,11
1254,11
1255,11
1256,14
1257,11
1259,10
1260,10
1261,10
1262,10
1263,11
1264,10
1265,12
1266,11
1268,10
1269,13
1271,13
1272,13
1273,10
1275,12
1276,11
1277,15
1279,11
1280,10
1281,10
1282,11
1283,15
1285,11
1286,13
1289,15
1290,11
1291,13
1292,11
1293,10
1294,10
1295,10
1296,13
1297,11
1298,13
1299,11
1300,12
1301,10
1302,12
1303,11
1304,14
1305,14
1306,10
1307,11
1309,12
1311,10
1312,11
1313,11
1314,10
1316,13
1317,13
1318,12
1319,10
1320,10
1321,11
1322,10
1323,13
1324,10
1325,13
1326,11
1327,11
1328,12
1329,13
1331,10
1332,13
1333,11
1334,11
1335,11
1336,11
1337,10
1338,12
1339,13
1340,13
1341,10
1342,10
1343,11
1344,15
1345,10
1346,10
1347,12
1348,12
1349,10
1353,12
1354,12
1355,15
1356,9
1357,12
1358,12
1359,11
1361,11
1362,10
1363,15
1364,11
1365,11
1366,11
1367,11
1368,11
1369,15
1370,12
1372,12
1373,10
1375,13
1377,14
1378,10
1379,10
1380,12
1381,13
1382,12
1383,12
1384,15
1385,10
1386,11
1387,11
1388,11
1389,10
1390,10
1391,11
1392,13
1393,10
1394,12
1395,11
1396,10
1397,11
1398,12
1399,12
1400,11
1402,10
1403,12
1405,11
1406,13
1407,13
1408,12
1409,13
1410,15
1411,11
1412,12
1413,13
1414,10
1415,10
1417,15
1418,13
1419,15
1420,10
1421,11
1422,13
1423,11
1425,11
1426,12
1427,10
1428,10
1429,10
1431,10
1432,10
1433,13
1434,11
1436,14
1438,12
1439,11
1440,10
1441,10
1442,13
1444,11
1445,11
1446,10
1447,12
1448,13
1449,12
1450,11
1451,11
1452,12
1453,10
1454,12
1455,13
1456,13
1458,11
1459,12
1460,12
1461,11
1462,13
1463,15
1464,15
1465,12
1466,11
1468,12
1469,10
1470,11
1472,12
1473,11
1474,11
1476,13
1478,13
1479,13
1480,15
1481,14
1482,10
1483,14
1484,13
1487,11
1488,12
1489,15
1490,14
1492,13
1493,11
1494,14
1495,13
1496,13
1497,11
1498,10
1499,14
1500,15
1502,13
1503,12
1504,11
1505,12
1506,13
2001,11
2002,11
2003,14
2004,14
2005,14
2006,14
2007,13
2008,13
2009,12
2010,12
2011,12
2012,12
2013,12
2014,11
2015,10
2016,10
2017,12
2018,14
2019,12
2021,13
2022,12
2023,11
2024,11
2025,12
2026,14
2027,14
2029,12
2030,12
2031,11
2032,11
2033,11
2034,11
2035,11
2036,12
2037,12
2038,12
2039,12
2040,14
2041,14
2042,12
2043,14
2044,12
2045,9
2046,12
